,CODE,COUNTRY,DATE,HDI,TC,TD,STI,POP,GDPCAP,KEYCODE&DATE,Country,European Union,Accession Year,Council Votes,European Parliament Seats,European Free Trade Agreement,European Single Market,European Monetary Union,Currency,Currency Code,Language,Population,Area (km²),Population Density,"GDP (€, millions)","GDP ($, millions)","GDP per capita ($, millions)"
0,ALB,Albania,2020-03-09,0.785,0.693147181,0.0,3.586569835,14.87253667,9.376145531,ALB2020-03-09,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
1,ALB,Albania,2020-03-10,0.785,1.791759469,0.0,3.729781445,14.87253667,9.376145531,ALB2020-03-10,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
2,ALB,Albania,2020-03-11,0.785,2.302585093,0.0,3.948354935,14.87253667,9.376145531,ALB2020-03-11,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
3,ALB,Albania,2020-03-12,0.785,2.397895273,0.0,3.948354935,14.87253667,9.376145531,ALB2020-03-12,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
4,ALB,Albania,2020-03-13,0.785,3.135494216,0.0,4.365643155,14.87253667,9.376145531,ALB2020-03-13,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
5,ALB,Albania,2020-03-14,0.785,3.496507561,0.0,4.365643155,14.87253667,9.376145531,ALB2020-03-14,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
6,ALB,Albania,2020-03-15,0.785,3.63758616,0.0,4.400357591,14.87253667,9.376145531,ALB2020-03-15,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
7,ALB,Albania,2020-03-16,0.785,3.737669618,0.0,4.400357591,14.87253667,9.376145531,ALB2020-03-16,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
8,ALB,Albania,2020-03-17,0.785,3.931825633,0.0,4.400357591,14.87253667,9.376145531,ALB2020-03-17,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
9,ALB,Albania,2020-03-18,0.785,4.007333185,0.0,4.400357591,14.87253667,9.376145531,ALB2020-03-18,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
10,ALB,Albania,2020-03-19,0.785,4.077537444,0.693147181,4.400357591,14.87253667,9.376145531,ALB2020-03-19,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
11,ALB,Albania,2020-03-20,0.785,4.248495242,0.693147181,4.400357591,14.87253667,9.376145531,ALB2020-03-20,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
12,ALB,Albania,2020-03-21,0.785,4.248495242,0.693147181,4.400357591,14.87253667,9.376145531,ALB2020-03-21,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
13,ALB,Albania,2020-03-22,0.785,4.33073334,0.693147181,4.400357591,14.87253667,9.376145531,ALB2020-03-22,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
