,Country,European Union,Accession Year,Council Votes,European Parliament Seats,European Free Trade Agreement,European Single Market,European Monetary Union,Currency,Currency Code,Language,Population,Area (km²),Population Density,"GDP (€, millions)","GDP ($, millions)","GDP per capita ($, millions)"
0,Albania,Candidate,,,,,,,Lek,ALL,Albanian,2892302,28748,101,10267.0,11398.0,3945.0
1,Austria,Member,1995.0,10.0,18.0,,Member,Member,Euro,EUR,German,8576261,83855,102,339896.0,376950.0,43775.0
2,Belgium,Member,1958.0,12.0,21.0,,Member,Member,Euro,EUR,"Dutch, French, German",11237274,30528,368,410351.0,455086.0,40324.0
3,Bulgaria,Member,2007.0,10.0,17.0,,Member,Candidate,Lev,BGN,Bulgarian,7202198,110994,65,45287.0,50199.0,6994.0
4,Croatia,Member,2013.0,7.0,11.0,,Member,Candidate,Kuna,HRK,Croatian,4225316,56594,75,43847.0,48732.0,11536.0
5,Cyprus,Member,2004.0,4.0,6.0,,Member,Member,Euro,EUR,"Greek, Turkish",847008,9251,92,17637.0,19560.0,23243.0
6,Czech Republic,Member,2004.0,12.0,21.0,,Member,Candidate,Koruna,CZK,Czech,10538275,78866,134,166964.0,185156.0,17548.0
7,Denmark,Member,1973.0,7.0,13.0,,Member,Not Applicable,Krone,DKK,Danish,5659715,43075,131,271786.0,295091.0,51989.0
8,Estonia,Member,2004.0,4.0,6.0,,Member,Member,Euro,EUR,Estonian,1314870,45227,29,20252.0,22459.0,17119.0
9,Finland,Member,1995.0,7.0,13.0,,Member,Member,Euro,EUR,"Finnish, Swedish",5471753,338424,16,209511.0,231950.0,42311.0
10,France,Member,1958.0,29.0,74.0,,Member,Member,Euro,EUR,French,66488186,549087,121,2181064.0,2418836.0,36206.0
11,Germany,Member,1958.0,29.0,96.0,,Member,Member,Euro,EUR,German,81197537,357021,227,3032820.0,3363447.0,41313.0
12,Greece,Member,1981.0,12.0,21.0,,Member,Member,Euro,EUR,Greek,10858018,131990,82,175697.0,194851.0,18002.0
13,Hungary,Member,2004.0,12.0,21.0,,Member,Candidate,Forint,HUF,Hungarian,9855571,93030,106,109674.0,121715.0,12364.0
14,Iceland,,,,,Member,Member,,Króna,ISK,Icelandic,329100,102775,3,15134.0,16598.0,50173.0
15,Ireland,Member,1973.0,7.0,11.0,,Member,Member,Euro,EUR,"English, Irish",4628949,70273,66,255815.0,283703.0,61134.0
16,Italy,Member,1958.0,29.0,73.0,,Member,Member,Euro,EUR,Italian,60795612,301338,202,1645439.0,1821497.0,29958.0
17,Latvia,Member,2004.0,4.0,8.0,,Member,Member,Euro,EUR,Latvian,1986096,64589,31,24368.0,27003.0,13649.0
18,Liechtenstein,,,,,Member,Member,,Franc,CHF,German,37366,160,234,,,
19,Lithuania,Member,2004.0,7.0,11.0,,Member,Member,Euro,EUR,Lithuanian,2921262,65200,45,37331.0,41171.0,14147.0
20,Luxembourg,Member,1958.0,4.0,6.0,,Member,Member,Euro,EUR,"French, German, Luxembourgish",562958,2586,218,51216.0,57794.0,101450.0
21,Macedonia,Candidate,,,,,,,Denar,MKD,Macedonian,2069172,25713,80,9061.0,10086.0,4853.0
22,Malta,Member,2004.0,3.0,6.0,,Member,Member,Euro,EUR,"Maltese, English",429344,316,1359,9276.0,9746.0,22596.0
23,Montenegro,Candidate,,,,,,Member,Euro,EUR,Serbian,622099,13812,45,3625.0,3987.0,6406.0
24,Netherlands,Member,1958.0,13.0,26.0,,Member,Member,Euro,EUR,Dutch,16900726,41543,407,676531.0,750284.0,44300.0
25,Norway,,,,,Member,Member,,Krone,NOK,Norwegian,5166493,385178,13,348332.0,386578.0,74400.0
26,Poland,Member,2004.0,27.0,51.0,,Member,Candidate,Złoty,PLN,Polish,38005614,312685,122,429794.0,477066.0,12555.0
27,Portugal,Member,1986.0,12.0,21.0,,Member,Member,Euro,EUR,Portuguese,10374822,92390,112,179540.0,198923.0,19222.0
28,Romania,Member,2007.0,14.0,32.0,,Member,Candidate,Leu,RON,Romanian,19870647,238391,83,159964.0,177954.0,8973.0
29,Serbia,Candidate,,,,,,,Dinar,RSD,Serbian,7114393,88361,81,33491.0,37160.0,5235.0
30,Slovakia,Member,2004.0,7.0,13.0,,Member,Member,Euro,EUR,Slovak,5421349,49035,111,78686.0,87264.0,16088.0
31,Slovenia,Member,2004.0,4.0,8.0,,Member,Member,Euro,EUR,Slovene,2062874,20273,102,38570.0,42775.0,20727.0
32,Spain,Member,1986.0,27.0,54.0,,Member,Member,Euro,EUR,Spanish,46449565,504030,92,1075639.0,1199057.0,25832.0
33,Sweden,Member,1995.0,10.0,20.0,,Member,Candidate,Krona,SEK,Swedish,9747355,449964,22,447010.0,495624.0,50580.0
34,Switzerland,,,,,Member,Member,,Franc,CHF,"German, French, Italian, Romansh",8237666,41285,200,604510.0,670790.0,80945.0
35,Turkey,Candidate,,,,,,,Lira,TRY,Turkish,77695904,783356,99,772610.0,717880.0,9126.0
36,United Kingdom,Member,1973.0,29.0,73.0,,Member,Not Applicable,Pound Sterling,GBP,English,64875165,243610,266,2580065.0,2858003.0,43876.0
