,Unnamed: 0.1,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_RD,Area (sq. mi.),KEYCODE&DATE,DATE_RD,CODE,COUNTRY,DATE_CD,HDI,Country_CD,European Union,Area (km²),European Single Market,DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,PopKM2,Stringency_Indexed,Country,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_Index_5
13,99,AFG,Afghanistan,2020-04-08,367.0,11.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-04-08,2020-04-08,AFG,Afghanistan,2020-04-08,0.498,,European Free Trade Agreement,,Member,2020-04-08,14,Apr,Wednesday,99,20200408,True,0.0,0.0,0.0,60.1,4.0,,All_Others,201.0,7.0,True
14,106,AFG,Afghanistan,2020-04-15,714.0,23.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-04-15,2020-04-15,AFG,Afghanistan,2020-04-15,0.498,,European Free Trade Agreement,,Member,2020-04-15,15,Apr,Wednesday,106,20200415,True,0.0,0.0,0.0,60.1,4.0,,All_Others,347.0,12.0,True
15,113,AFG,Afghanistan,2020-04-22,1092.0,36.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-04-22,2020-04-22,AFG,Afghanistan,2020-04-22,0.498,,European Free Trade Agreement,,Member,2020-04-22,16,Apr,Wednesday,113,20200422,True,0.0,0.0,0.0,60.1,4.0,,All_Others,378.0,13.0,True
16,120,AFG,Afghanistan,2020-04-29,1827.0,60.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-04-29,2020-04-29,AFG,Afghanistan,2020-04-29,0.498,,European Free Trade Agreement,,Member,2020-04-29,17,Apr,Wednesday,120,20200429,True,0.0,0.0,0.0,60.1,4.0,,All_Others,735.0,24.0,True
17,127,AFG,Afghanistan,2020-05-06,3224.0,95.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-05-06,2020-05-06,AFG,Afghanistan,2020-05-06,0.498,,European Free Trade Agreement,,Member,2020-05-06,18,May,Wednesday,127,20200506,True,0.0,0.0,0.0,60.1,4.0,,All_Others,1397.0,35.0,True
18,134,AFG,Afghanistan,2020-05-13,4967.0,127.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-05-13,2020-05-13,AFG,Afghanistan,2020-05-13,0.498,,European Free Trade Agreement,,Member,2020-05-13,19,May,Wednesday,134,20200513,True,0.0,0.0,0.0,60.1,4.0,,All_Others,1743.0,32.0,True
19,141,AFG,Afghanistan,2020-05-20,7653.0,178.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-05-20,2020-05-20,AFG,Afghanistan,2020-05-20,0.498,,European Free Trade Agreement,,Member,2020-05-20,20,May,Wednesday,141,20200520,True,0.0,0.0,0.0,60.1,4.0,,All_Others,2686.0,51.0,True
20,148,AFG,Afghanistan,2020-05-27,11831.0,220.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-05-27,2020-05-27,AFG,Afghanistan,2020-05-27,0.498,,European Free Trade Agreement,,Member,2020-05-27,21,May,Wednesday,148,20200527,True,0.0,0.0,0.0,60.1,4.0,,All_Others,4178.0,42.0,True
21,155,AFG,Afghanistan,2020-06-03,16509.0,270.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-06-03,2020-06-03,AFG,Afghanistan,2020-06-03,0.498,,European Free Trade Agreement,,Member,2020-06-03,22,Jun,Wednesday,155,20200603,True,0.0,0.0,0.0,60.1,4.0,,All_Others,4678.0,50.0,True
22,162,AFG,Afghanistan,2020-06-10,21459.0,384.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-06-10,2020-06-10,AFG,Afghanistan,2020-06-10,0.498,,European Free Trade Agreement,,Member,2020-06-10,23,Jun,Wednesday,162,20200610,True,0.0,0.0,0.0,60.1,4.0,,All_Others,4950.0,114.0,True
23,169,AFG,Afghanistan,2020-06-17,26310.0,491.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-06-17,2020-06-17,AFG,Afghanistan,2020-06-17,0.498,,European Free Trade Agreement,,Member,2020-06-17,24,Jun,Wednesday,169,20200617,True,0.0,0.0,0.0,60.1,4.0,,All_Others,4851.0,107.0,True
24,176,AFG,Afghanistan,2020-06-24,29481.0,618.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-06-24,2020-06-24,AFG,Afghanistan,2020-06-24,0.498,,European Free Trade Agreement,,Member,2020-06-24,25,Jun,Wednesday,176,20200624,True,0.0,0.0,0.0,60.1,4.0,,All_Others,3171.0,127.0,True
25,183,AFG,Afghanistan,2020-07-01,31517.0,746.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-07-01,2020-07-01,AFG,Afghanistan,2020-07-01,0.498,,European Free Trade Agreement,,Member,2020-07-01,26,Jul,Wednesday,183,20200701,True,0.0,0.0,0.0,60.1,4.0,,All_Others,2036.0,128.0,True
26,190,AFG,Afghanistan,2020-07-08,33594.0,936.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-07-08,2020-07-08,AFG,Afghanistan,2020-07-08,0.498,,European Free Trade Agreement,,Member,2020-07-08,27,Jul,Wednesday,190,20200708,True,0.1,0.0,0.0,60.1,4.0,,All_Others,2077.0,190.0,True
27,197,AFG,Afghanistan,2020-07-15,34740.0,1045.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-07-15,2020-07-15,AFG,Afghanistan,2020-07-15,0.498,,European Free Trade Agreement,,Member,2020-07-15,28,Jul,Wednesday,197,20200715,True,0.1,0.0,0.0,60.1,4.0,,All_Others,1146.0,109.0,True
28,204,AFG,Afghanistan,2020-07-22,35727.0,1190.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-07-22,2020-07-22,AFG,Afghanistan,2020-07-22,0.498,,European Free Trade Agreement,,Member,2020-07-22,29,Jul,Wednesday,204,20200722,True,0.1,0.0,0.0,60.1,4.0,,All_Others,987.0,145.0,True
29,211,AFG,Afghanistan,2020-07-29,36471.0,1271.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-07-29,2020-07-29,AFG,Afghanistan,2020-07-29,0.498,,European Free Trade Agreement,,Member,2020-07-29,30,Jul,Wednesday,211,20200729,True,0.1,0.0,0.0,60.1,4.0,,All_Others,744.0,81.0,True
30,218,AFG,Afghanistan,2020-08-05,36829.0,1294.0,71.3,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-08-05,2020-08-05,AFG,Afghanistan,2020-08-05,0.498,,European Free Trade Agreement,,Member,2020-08-05,31,Aug,Wednesday,218,20200805,True,0.1,0.0,0.0,60.1,4.0,,All_Others,358.0,23.0,True
31,225,AFG,Afghanistan,2020-08-12,37269.0,1344.0,71.3,38928341,1803.987,0.498,Afghanistan,647500.0,AFG2020-08-12,2020-08-12,AFG,Afghanistan,2020-08-12,0.498,,European Free Trade Agreement,,Member,2020-08-12,32,Aug,Wednesday,225,20200812,True,0.1,0.0,0.0,60.1,4.0,,All_Others,440.0,50.0,True
40,303,ALB,Albania,2020-03-18,55.0,1.0,81.48,2877800,11803.431,0.785,Albania,28748.0,ALB2020-03-18,2020-03-18,ALB,Albania,2020-03-18,0.785,Albania,Candidate,28748.0,Member,2020-03-18,11,Mar,Wednesday,78,20200318,True,0.0,0.0,0.0,100.1,4.0,,All_Others,45.0,,True
41,310,ALB,Albania,2020-03-25,123.0,5.0,84.26,2877800,11803.431,0.785,Albania,28748.0,ALB2020-03-25,2020-03-25,ALB,Albania,2020-03-25,0.785,Albania,Candidate,28748.0,Member,2020-03-25,12,Mar,Wednesday,85,20200325,True,0.0,0.0,0.0,100.1,4.0,,All_Others,68.0,4.0,True
42,317,ALB,Albania,2020-04-01,243.0,15.0,84.26,2877800,11803.431,0.785,Albania,28748.0,ALB2020-04-01,2020-04-01,ALB,Albania,2020-04-01,0.785,Albania,Candidate,28748.0,Member,2020-04-01,13,Apr,Wednesday,92,20200401,True,0.0,0.0,0.1,100.1,4.0,,All_Others,120.0,10.0,True
43,324,ALB,Albania,2020-04-08,383.0,22.0,84.26,2877800,11803.431,0.785,Albania,28748.0,ALB2020-04-08,2020-04-08,ALB,Albania,2020-04-08,0.785,Albania,Candidate,28748.0,Member,2020-04-08,14,Apr,Wednesday,99,20200408,True,0.0,0.0,0.1,100.1,4.0,,All_Others,140.0,7.0,True
44,331,ALB,Albania,2020-04-15,475.0,24.0,84.26,2877800,11803.431,0.785,Albania,28748.0,ALB2020-04-15,2020-04-15,ALB,Albania,2020-04-15,0.785,Albania,Candidate,28748.0,Member,2020-04-15,15,Apr,Wednesday,106,20200415,True,0.0,0.0,0.1,100.1,4.0,,All_Others,92.0,2.0,True
45,338,ALB,Albania,2020-04-22,609.0,26.0,89.81,2877800,11803.431,0.785,Albania,28748.0,ALB2020-04-22,2020-04-22,ALB,Albania,2020-04-22,0.785,Albania,Candidate,28748.0,Member,2020-04-22,16,Apr,Wednesday,113,20200422,True,0.0,0.0,0.0,100.1,4.0,,All_Others,134.0,2.0,True
46,345,ALB,Albania,2020-04-29,750.0,30.0,89.81,2877800,11803.431,0.785,Albania,28748.0,ALB2020-04-29,2020-04-29,ALB,Albania,2020-04-29,0.785,Albania,Candidate,28748.0,Member,2020-04-29,17,Apr,Wednesday,120,20200429,True,0.0,0.0,0.0,100.1,4.0,,All_Others,141.0,4.0,True
47,352,ALB,Albania,2020-05-06,820.0,31.0,89.81,2877800,11803.431,0.785,Albania,28748.0,ALB2020-05-06,2020-05-06,ALB,Albania,2020-05-06,0.785,Albania,Candidate,28748.0,Member,2020-05-06,18,May,Wednesday,127,20200506,True,0.0,0.0,0.0,100.1,4.0,,All_Others,70.0,1.0,True
48,359,ALB,Albania,2020-05-13,876.0,31.0,89.81,2877800,11803.431,0.785,Albania,28748.0,ALB2020-05-13,2020-05-13,ALB,Albania,2020-05-13,0.785,Albania,Candidate,28748.0,Member,2020-05-13,19,May,Wednesday,134,20200513,True,0.0,0.0,0.0,100.1,4.0,,All_Others,56.0,0.0,True
49,366,ALB,Albania,2020-05-20,949.0,31.0,83.33,2877800,11803.431,0.785,Albania,28748.0,ALB2020-05-20,2020-05-20,ALB,Albania,2020-05-20,0.785,Albania,Candidate,28748.0,Member,2020-05-20,20,May,Wednesday,141,20200520,True,0.0,0.0,0.0,100.1,4.0,,All_Others,73.0,0.0,True
