,Weekly_Cases,Weekly_Cases,Weekly_Cases,Weekly_Cases,Weekly_Cases,Weekly_Deaths,Weekly_Deaths,Weekly_Deaths,Weekly_Deaths,Weekly_Deaths
Econ_Block,All_Others,BRICS,EU,US,All,All_Others,BRICS,EU,US,All
Month,,,,,,,,,,
Jan,30,5967,0,4,5942.0,0,130,0,0,130.0
Feb,1525,72165,363,48,72676.0,1,2585,11,0,2597.0
Mar,71253,7196,228048,55178,330386.0,2433,619,12155,792,15999.0
Apr,599896,200266,866609,957352,2613246.0,21244,8259,115068,57554,202125.0
May,852006,727986,248149,668629,2494178.0,27754,26197,33696,40561,128208.0
Jun,1488363,1378857,143968,665810,3676076.0,46790,44404,11281,22312,124787.0
Jul,2327963,2992571,198187,2004975,7521912.0,82454,65928,4502,28028,180912.0
Aug,2185871,3188301,404487,1427031,7204724.0,68753,62467,3894,29230,164344.0
Sep,2825321,4360763,1208979,1412033,9805884.0,81259,71752,8947,27512,189470.0
