,Unnamed: 0.1,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_x,Region,Area (sq. mi.),KEYCODE&DATE,DATE,Country_y,European Union,Area (km²),European Single Market,Week_Num,Month,day,dayz,Dates,Wednesdays,Cases_x_Area,Cases_x_Pop,Deaths_%_Cases,PopKM2,Stringency_Indexed,Country,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_IndexL4_L5
371,2806,AUT,Austria,2020-03-18,1332.0,3.0,85.19,9006400,45436.686,0.908,Austria,WESTERN EUROPE                     ,83870.0,AUT2020-03-18,2020-03-18,Austria,Member,83855.0,Member,11,Mar,Wednesday,78,20200318,True,0.0,0.0,0.2,107.4,4.0,Austria,EU,1150.0,,True
372,2813,AUT,Austria,2020-03-25,5282.0,30.0,85.19,9006400,45436.686,0.908,Austria,WESTERN EUROPE                     ,83870.0,AUT2020-03-25,2020-03-25,Austria,Member,83855.0,Member,12,Mar,Wednesday,85,20200325,True,0.1,0.0,0.6,107.4,4.0,Austria,EU,3950.0,27.0,True
373,2820,AUT,Austria,2020-04-01,10182.0,128.0,85.19,9006400,45436.686,0.908,Austria,WESTERN EUROPE                     ,83870.0,AUT2020-04-01,2020-04-01,Austria,Member,83855.0,Member,13,Apr,Wednesday,92,20200401,True,0.1,0.0,1.3,107.4,4.0,Austria,EU,4900.0,98.0,True
374,2827,AUT,Austria,2020-04-08,12640.0,243.0,85.19,9006400,45436.686,0.908,Austria,WESTERN EUROPE                     ,83870.0,AUT2020-04-08,2020-04-08,Austria,Member,83855.0,Member,14,Apr,Wednesday,99,20200408,True,0.2,0.0,1.9,107.4,4.0,Austria,EU,2458.0,115.0,True
375,2834,AUT,Austria,2020-04-15,14234.0,384.0,81.48,9006400,45436.686,0.908,Austria,WESTERN EUROPE                     ,83870.0,AUT2020-04-15,2020-04-15,Austria,Member,83855.0,Member,15,Apr,Wednesday,106,20200415,True,0.2,0.0,2.7,107.4,4.0,Austria,EU,1594.0,141.0,True
376,2841,AUT,Austria,2020-04-22,14833.0,463.0,81.48,9006400,45436.686,0.908,Austria,WESTERN EUROPE                     ,83870.0,AUT2020-04-22,2020-04-22,Austria,Member,83855.0,Member,16,Apr,Wednesday,113,20200422,True,0.2,0.0,3.1,107.4,4.0,Austria,EU,599.0,79.0,True
377,2848,AUT,Austria,2020-04-29,15314.0,569.0,78.7,9006400,45436.686,0.908,Austria,WESTERN EUROPE                     ,83870.0,AUT2020-04-29,2020-04-29,Austria,Member,83855.0,Member,17,Apr,Wednesday,120,20200429,True,0.2,0.0,3.7,107.4,4.0,Austria,EU,481.0,106.0,True
615,4645,BEL,Belgium,2020-03-18,3098.0,62.0,73.15,11589616,42658.576,0.916,Belgium,WESTERN EUROPE                     ,30528.0,BEL2020-03-18,2020-03-18,Belgium,Member,30528.0,Member,11,Mar,Wednesday,78,20200318,True,0.1,0.0,2.0,379.6,4.0,Belgium,EU,2324.0,58.0,True
616,4652,BEL,Belgium,2020-03-25,9150.0,478.0,81.48,11589616,42658.576,0.916,Belgium,WESTERN EUROPE                     ,30528.0,BEL2020-03-25,2020-03-25,Belgium,Member,30528.0,Member,12,Mar,Wednesday,85,20200325,True,0.3,0.0,5.2,379.6,4.0,Belgium,EU,6052.0,416.0,True
617,4659,BEL,Belgium,2020-04-01,18493.0,1608.0,81.48,11589616,42658.576,0.916,Belgium,WESTERN EUROPE                     ,30528.0,BEL2020-04-01,2020-04-01,Belgium,Member,30528.0,Member,13,Apr,Wednesday,92,20200401,True,0.6,0.0,8.7,379.6,4.0,Belgium,EU,9343.0,1130.0,True
