Rank,Country,2019 populationaccording toEurostat,% ofpop.,Officialfigure(whereavailable),Date of official figure,Source ofofficial figure
1,,83019213,16.17,82576900,"March 31, 2017",[http://www.destatis.de/EN/FactsFigures/SocietyState/Population/CurrentPopulation/Tables/Census_SexAndCitizenship.html Official estimate]
2,France,67012883,13.05,67187000,"December, 2018",[http://www.insee.fr/en/bases-de-donnees/bsweb/serie.asp?idbank=001641607 Monthly official estimate]
3,"United Kingdom * <!-- Please do not remove the UK from the 2019 list, see the talk page -->",66647112,12.98,65648100,"June 30, 2017",[https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/timeseries/ukpop/pop Official estimate]
4,Italy,60359546,11.76,60391000,"January 1, 2019",[https://www.istat.it/en/archivio/226922 Monthly official estimate]
5,Spain,46937060,9.14,46549045,"January 1, 2019",[http://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736176951&menu=ultiDatos&idp=1254735572981 Official estimate]
6,Poland,37972812,7.4,38426000,"July 31, 2017",[http://stat.gov.pl/en/basic-data Official estimate]
7,,19414458,3.7800000000000002,19638309,"January 1, 2017",[http://www.insse.ro/cms/sites/default/files/com_presa/com_pdf/poprez_ian2017e.pdf Official estimate]
8,Netherlands,17282163,3.37,17261622,"September 30, 2018",[https://opendata.cbs.nl/statline/#/CBS/en/dataset/37943eng/table?ts=1519040778570 Monthly official estimate]
9,Belgium,11455519,2.23,11399335,"December 1, 2017",[http://www.ibz.rrn.fgov.be/fileadmin/user_upload/fr/pop/statistiques/stat-1-1_f.pdf Monthly official estimate]
10,,10724599,2.09,10768193,"January 1, 2017",[http://www.statistics.gr/en/statistics?p_p_id=documents_WAR_publicationsportlet_INSTANCE_qDQ8fBKKo4lN&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-2&p_p_col_count=4&p_p_col_pos=1&_documents_WAR_publicationsportlet_INSTANCE_qDQ8fBKKo4lN_javax.faces.resource=document&_documents_WAR_publicationsportlet_INSTANCE_qDQ8fBKKo4lN_ln=downloadResources&_documents_WAR_publicationsportlet_INSTANCE_qDQ8fBKKo4lN_documentID=301947&_documents_WAR_publicationsportlet_INSTANCE_qDQ8fBKKo4lN_locale=en Official estimate]
11,Czech Republic,10649800,2.07,10610055,"December 31, 2017",[http://www.czso.cz/csu/czso/population Official estimate]
12,,10276617,2.0,10309573,"December 31, 2016",[http://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_main Official estimate]
13,Sweden,10230185,1.99,10142686,"November 30, 2017",[https://www.scb.se/en/ Monthly official estimate]
14,Hungary,9772756,1.9,9771000,"January 1, 2017",[http://www.ksh.hu/docs/eng/xstadat/xstadat_annual/i_wnt001b.html Official estimate]
15,Austria,8858775,1.73,8823054,"January 1, 2018",[http://www.statistik.at/web_en/statistics/PeopleSociety/population/116039.html Official estimate]
16,,7000039,1.3599999999999999,7101859,"December 31, 2016",[http://www.nsi.bg/en Official estimate]
17,Denmark,5806081,1.13,5781190,"January 1, 2018",[https://www.dst.dk/en/Statistik/emner/befolkning-og-valg/befolkning-og-befolkningsfremskrivning/folketal Official estimate]
18,Finland,5517919,1.07,5516224,"December 31, 2017",[http://www.stat.fi/til/vamuu/2017/12/vamuu_2017_12_2018-02-15_tie_001_en.html Monthly official estimate]
19,Slovakia,5450421,1.06,5441899,"September 30, 2017",[https://slovak.statistics.sk/wps/portal/ext/products/informationmessages/inf_sprava_detail/!ut/p/z1/rVRNc5swEP0ruXCUtegDRG_YTbAT2w04ODGXDAJhU5uPAnHqf1-ReKZNWzvpTHUBtG9X-572gSP8gKMy3ufruMurMt7p71VkPfr2RAyHpgswnFKYXN8s5uPRFfFCju_fAsQ8uITJnXvrBdfMBMZxpMOu7_uL6XIJ3pJcwYSaHszDUFez8BJHOErKru42eFXJNt4gVRqQl1nVFLqLfalQWzfx_mDAvlXdVj-lCUkSmxxZJLURMxlHMmUMWdzJkozGKYmdvmyd5CleCaqk4kQhaToEMQYpcohyEHBQTipTW0pxpHGmz-gNy-GSwMSeB-aN73s3Jjvmjzx3zOwpgJh6HCbuOAwcn1Jw6cfy4cRy4WP5ZwDRP13jn4DofHv3vd7vKPBejejsrNxZR8ApkqF9BFwtbonrMG_0OfiiK9yNiFhMLQKe9Q4ATHyNo_Wukq-T75aSijWOGpWpRjWDp0Zvb7qubj8ZYIAqB8_5Nq9VmseDqlkb8LekTdV2-OF3LF5pwe2TZAN9I_tcPeOw7G2ww4uf88wzblLCAGWpsvQ8J0TPcyyQzTOZEDApTTgeQ08ll8XgOSkGMHBMwixHWFzT1O-07zT_-u1b5Gr3VWWnvusmX-3Xbg1oO229BL1Eys6AuqnSp213OGHMbdzFu2p98UvwkGwuXsL9SaSZjWZakzruNqgH4YezKa_inJpG0z4tzofM_kYZW9hAbVswwhyL03PK_J8fU12EhaCHXC-0DS4DcaC7fTGSYtZxydfF46x1fwBHgQxq/dz/d5/L2dBISEvZ0FBIS9nQSEh/ Official estimate]
20,Ireland,4904240,0.96,4921500,"April 1, 2019",[https://cso.ie/en/releasesandpublications/er/pme/populationandmigrationestimatesapril2019/ Official estimate]
21,,4076246,0.79,4154213,"December 31, 2016",[https://www.dzs.hr/Eng/system/first_results.htm Official estimate]
