,Unnamed: 0,Unnamed: 0.1,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,DATE_RD,DATE_CD,Country_x,European Union,Area (km²),DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,Stringency_Indexed,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_Index_5
53,107,113,DZA,Algeria,2020-09-30,51368.0,1726.0,75.93,43851043,13913.839,0.754,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0011714202556139,0.0,4.0,All_Others,1154.0,37.0,True
80,165,175,AGO,Angola,2020-09-30,4905.0,179.0,75.0,32866268,5819.495,0.581,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0001492411611808,0.0,4.0,All_Others,669.0,24.0,True
112,254,270,ARG,Argentina,2020-09-30,736596.0,16519.0,87.96,45195777,18933.907,0.825,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0162978943807072,0.0,4.0,All_Others,84435.0,2567.0,True
205,536,573,BGD,Bangladesh,2020-09-30,362043.0,5219.0,80.09,164689383,3523.984,0.608,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.002198338432053,0.0,4.0,All_Others,9865.0,212.0,True
249,671,718,BLZ,Belize,2020-09-30,1943.0,26.0,72.22,397621,7824.362,0.708,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0048865628324459,0.0,4.0,All_Others,274.0,5.0,True
282,757,810,BTN,Bhutan,2020-09-30,281.0,,71.3,771612,8708.597,0.612,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0003641726670917,,4.0,All_Others,20.0,,True
311,786,841,BOL,Bolivia,2020-09-30,134641.0,7931.0,81.48,11673029,6885.829,0.693,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0115343669582248,0.1,4.0,All_Others,3188.0,238.0,True
434,1269,1359,TCD,Chad,2020-09-30,1193.0,85.0,76.85,16425859,1768.153,0.404,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,7.262938273121667e-05,0.1,4.0,All_Others,38.0,4.0,True
462,1300,1392,CHL,Chile,2020-09-30,461300.0,12725.0,83.8,19116209,22767.037,0.843,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0241313536590858,0.0,4.0,All_Others,12777.0,404.0,True
518,1369,1466,COL,Colombia,2020-09-30,824042.0,25828.0,71.3,50882884,13254.949,0.747,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0161948760608773,0.0,4.0,All_Others,46505.0,1258.0,True
593,1547,1657,CUB,Cuba,2020-09-30,5531.0,122.0,84.26,11326616,,0.777,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0004883188412143,0.0,4.0,All_Others,309.0,5.0,True
679,1807,1936,DOM,Dominican Republic,2020-09-30,111900.0,2101.0,75.93,10847904,14600.861,0.736,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0103153567730687,0.0,4.0,All_Others,2631.0,37.0,True
772,1970,2111,ERI,Eritrea,2020-09-30,375.0,,86.11,3546427,1510.459,0.44,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0001057402281225,,4.0,All_Others,11.0,,True
804,2038,2184,ETH,Ethiopia,2020-09-30,74584.0,1191.0,77.78,114963583,1729.927,0.463,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0006487619649084,0.0,4.0,All_Others,4162.0,64.0,True
863,2293,2457,GMB,Gambia,2020-09-30,3579.0,112.0,75.93,2416664,1561.767,0.46,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.001480967151412,0.0,4.0,All_Others,39.0,2.0,True
979,2697,2890,GUY,Guyana,2020-09-30,2846.0,78.0,79.17,786559,7435.047,0.654,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0036182918255337,0.0,4.0,All_Others,409.0,11.0,True
1024,2754,2951,HND,Honduras,2020-09-30,76098.0,2323.0,84.26,9904608,4541.795,0.617,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0076830905372529,0.0,4.0,All_Others,3792.0,117.0,True
1057,2868,3074,IND,India,2020-09-30,6225763.0,97497.0,73.61,1380004385,6426.674,0.64,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0045114081286053,0.0,4.0,BRICS,579753.0,7477.0,True
1094,2985,3200,IRQ,Iraq,2020-09-30,358290.0,9122.0,73.15,40222503,15663.986,0.685,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0089077002492858,0.0,4.0,All_Others,30710.0,440.0,True
1130,3091,3314,ISR,Israel,2020-09-30,236926.0,1528.0,85.19,8655541,33132.32,0.903,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.027372754631975,0.0,4.0,All_Others,43552.0,243.0,True
1160,3159,3387,JAM,Jamaica,2020-09-30,6382.0,100.0,78.7,2961161,8193.571,0.732,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0021552357335518,0.0,4.0,All_Others,1131.0,25.0,True
1200,3285,3522,KAZ,Kazakhstan,2020-09-30,140707.0,2078.0,78.7,18776707,24055.588,0.8,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0074936995075867,0.0,4.0,All_Others,1725.0,34.0,True
1351,3589,3848,LBY,Libya,2020-09-30,34014.0,540.0,86.11,6871287,17881.509,0.706,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0049501643578561,0.0,4.0,All_Others,4568.0,76.0,True
1447,4017,4307,MEX,Mexico,2020-09-30,784074.0,77163.0,73.61,128932753,17336.469,0.774,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0060812631527382,0.1,4.0,All_Others,31659.0,2815.0,True
1527,4262,4569,MMR,Myanmar,2020-09-30,12425.0,284.0,81.02,54409794,5591.597,0.578,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0002283596221665,0.0,4.0,All_Others,5466.0,168.0,True
1557,4330,4642,NPL,Nepal,2020-09-30,76258.0,491.0,76.85,29136808,2442.804,0.574,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0026172393352078,0.0,4.0,All_Others,9626.0,62.0,True
1618,4636,4971,OMN,Oman,2020-09-30,98585.0,935.0,86.11,5106622,37960.709,0.821,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0193053255165547,0.0,4.0,All_Others,3874.0,70.0,True
1659,4705,5045,PSE,Palestine,2020-09-30,50115.0,360.0,82.41,5101416,4449.898,0.686,2020-09-30,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0098237430548694,0.0,4.0,All_Others,3501.0,46.0,True
