,Unnamed: 0,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_RD,Area (sq. mi.),DATE_RD,DATE_CD,Country_CD,European Union,Area (km²),Population Density,DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,AreaKM2,PopKM2,Stringency_Indexed,Country,Econ_Block
39,274,AFG,Afghanistan,2020-09-30,39254.0,1458.0,28.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0010083656018118,0.0,,,1.0,,All_Others
71,499,ALB,Albania,2020-09-30,13518.0,384.0,43.52,2877800,11803.431,0.785,Albania,28748.0,2020-09-30,2020-09-30,Albania,Candidate,28748.0,101.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.4702240155836927,0.0046973382444923,0.0,28748.0,100.10435508557116,2.0,,All_Others
113,793,DZA,Algeria,2020-09-30,51368.0,1726.0,75.93,43851043,13913.839,0.754,Algeria,2381740.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0011714202556139,0.0,,,4.0,,All_Others
145,1019,AND,Andorra,2020-09-30,1966.0,53.0,50.0,77265,,0.858,Andorra,468.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0254448974309195,0.0,,,2.0,,All_Others
175,1231,AGO,Angola,2020-09-30,4905.0,179.0,75.0,32866268,5819.495,0.581,Angola,1246700.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0001492411611808,0.0,,,4.0,,All_Others
204,1438,AIA,Anguilla,2020-09-30,3.0,,,15002,,,Anguilla,102.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0001999733368884,,,,,,All_Others
234,1652,ATG,Antigua and Barbuda,2020-09-30,101.0,3.0,,97928,21490.943,0.78,Antigua and Barbuda,443.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0010313699861122,0.0,,,,,All_Others
270,1904,ARG,Argentina,2020-09-30,736596.0,16519.0,87.96,45195777,18933.907,0.825,Argentina,2766890.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0162978943807072,0.0,,,4.0,,All_Others
312,2198,ARM,Armenia,2020-09-30,49901.0,958.0,,2963234,8787.58,0.755,Armenia,29800.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0168400470566954,0.0,,,,,All_Others
342,2414,ABW,Aruba,2020-09-30,3934.0,26.0,50.46,106766,35973.781,,Aruba,193.0,2020-09-30,,,,,,2020-09-30,39,Sep,Wednesday,274,20200930,True,,0.0368469362905794,0.0,,,3.0,,All_Others
