,Unnamed: 0,Unnamed: 0.1,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_RD,Area (sq. mi.),DATE_RD,DATE_CD,Country_CD,European Union,Area (km²),Population Density,DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,AreaKM2,PopKM2,Stringency_Indexed,Country,Econ_Block
11,426,3002,AUT,Austria,2020-09-30,44607.0,796.0,40.74,9006400,45436.686,0.908,Austria,83870.0,2020-09-30,2020-09-30,Austria,Member,83855.0,102.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.5319539681593226,0.0049528113341623,0.0,83855.0,107.4044481545525,2.0,Austria,EU
18,688,4841,BEL,Belgium,2020-09-30,125581.0,10021.0,45.37,11589616,42658.576,0.916,Belgium,30528.0,2020-09-30,2020-09-30,Belgium,Member,30528.0,368.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,4.113633385744235,0.0108356480490811,0.1,30528.0,379.6388888888889,2.0,Belgium,EU
30,1062,7499,BGR,Bulgaria,2020-09-30,20547.0,814.0,35.19,6948445,18563.307,0.813,Bulgaria,110910.0,2020-09-30,2020-09-30,Bulgaria,Member,110994.0,65.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.1851181144926753,0.0029570644942861,0.0,110994.0,62.60198749481954,2.0,Bulgaria,EU
47,1626,11473,HRV,Croatia,2020-09-30,16380.0,275.0,28.7,4105268,22669.797,0.831,Croatia,56542.0,2020-09-30,2020-09-30,Croatia,Member,56594.0,75.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.2894299749090009,0.0039899952938517,0.0,56594.0,72.53892638795632,1.0,Croatia,EU
50,1718,12130,CYP,Cyprus,2020-09-30,1743.0,22.0,53.7,875899,32415.132,0.869,Cyprus,9250.0,2020-09-30,2020-09-30,Cyprus,Member,9251.0,92.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.1884120635606961,0.0019899554629015,0.0,9251.0,94.68154794076317,3.0,Cyprus,EU
51,1760,12424,CZE,Czech Republic,2020-09-30,67843.0,636.0,38.89,10708982,32605.906,0.888,Czech Republic,78866.0,2020-09-30,2020-09-30,Czech Republic,Member,78866.0,134.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.8602312783709076,0.0063351493167137,0.0,78866.0,135.78705652625973,2.0,Czech Republic,EU
53,1834,12939,DNK,Denmark,2020-09-30,27464.0,650.0,50.93,5792203,46682.515,0.929,Denmark,43094.0,2020-09-30,2020-09-30,Denmark,Member,43075.0,131.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.6375856065002902,0.0047415465238355,0.0,43075.0,134.4678583865351,3.0,Denmark,EU
62,2153,15187,EST,Estonia,2020-09-30,3315.0,64.0,22.22,1326539,29481.252,0.871,Estonia,45226.0,2020-09-30,2020-09-30,Estonia,Member,45227.0,29.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.0732969244035642,0.0024989841987306,0.0,45227.0,29.33068742123068,1.0,Estonia,EU
67,2323,16393,FIN,Finland,2020-09-30,9892.0,343.0,32.41,5540718,40585.721,0.92,Finland,338145.0,2020-09-30,2020-09-30,Finland,Member,338424.0,16.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,0.0292296054653334,0.0017853281830982,0.0,338424.0,16.372118998652578,2.0,Finland,EU
68,2365,16687,FRA,France,2020-09-30,550690.0,31893.0,46.76,65273512,38605.671,0.901,France,547030.0,2020-09-30,2020-09-30,France,Member,549087.0,121.0,2020-09-30,39,Sep,Wednesday,274,20200930,True,1.0029193916446757,0.008436653446807,0.1,549087.0,118.87644763033909,2.0,France,EU
