location,PopKM2
Austria,107.4044481545525
Belgium,379.6388888888889
Bulgaria,62.60198749481954
Croatia,72.53892638795632
Cyprus,94.68154794076317
Czech Republic,135.78705652625973
Denmark,134.4678583865351
Estonia,29.33068742123068
Finland,16.372118998652578
France,118.87644763033909
Germany,234.6751171499716
Greece,78.96852791878173
Hungary,103.84123401053424
Ireland,70.26590582442759
Italy,200.6445519649032
Latvia,29.203146046540432
Lithuania,41.75292944785276
Luxembourg,242.06341840680588
Malta,1397.2753164556962
Netherlands,412.4611366535879
Poland,121.03748181076804
Portugal,110.36591622469965
Romania,80.69802131791889
Slovakia,111.34175588865097
Slovenia,102.54683569279337
Spain,92.7619050453346
Sweden,22.444617791645555
United Kingdom,278.6667378186445
