,Unnamed: 0,iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index,Country_RD,Area (sq. mi.),DATE_RD,DATE_CD,Country_CD,European Union,Area (km²),Population Density,DATE,Week_Num,Month,day,dayz,Dates,Wednesdays,CasesxArea,CasesxPop,DeathsxCases,AreaKM2,PopKM2,Stringency_Indexed,Country,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_Index_5
13,14,AFG,Afghanistan,2020-04-08,367.0,11.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-04-08,,,,,,2020-04-08,14,Apr,Wednesday,99,20200408,True,,9.427578740126636e-06,0.0,,,4.0,,All_Others,201.0,7.0,True
14,15,AFG,Afghanistan,2020-04-15,714.0,23.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-04-15,,,,,,2020-04-15,15,Apr,Wednesday,106,20200415,True,,1.8341392971254546e-05,0.0,,,4.0,,All_Others,347.0,12.0,True
15,16,AFG,Afghanistan,2020-04-22,1092.0,36.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-04-22,,,,,,2020-04-22,16,Apr,Wednesday,113,20200422,True,,2.805154219133048e-05,0.0,,,4.0,,All_Others,378.0,13.0,True
16,17,AFG,Afghanistan,2020-04-29,1827.0,60.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-04-29,,,,,,2020-04-29,17,Apr,Wednesday,120,20200429,True,,4.693238789703368e-05,0.0,,,4.0,,All_Others,735.0,24.0,True
17,18,AFG,Afghanistan,2020-05-06,3224.0,95.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-05-06,,,,,,2020-05-06,18,May,Wednesday,127,20200506,True,,8.281883885059473e-05,0.0,,,4.0,,All_Others,1397.0,35.0,True
18,19,AFG,Afghanistan,2020-05-13,4967.0,127.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-05-13,,,,,,2020-05-13,19,May,Wednesday,134,20200513,True,,0.0001275934158098,0.0,,,4.0,,All_Others,1743.0,32.0,True
19,20,AFG,Afghanistan,2020-05-20,7653.0,178.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-05-20,,,,,,2020-05-20,20,May,Wednesday,141,20200520,True,,0.0001965919893683,0.0,,,4.0,,All_Others,2686.0,51.0,True
20,21,AFG,Afghanistan,2020-05-27,11831.0,220.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-05-27,,,,,,2020-05-27,21,May,Wednesday,148,20200527,True,,0.0003039173952981,0.0,,,4.0,,All_Others,4178.0,42.0,True
21,22,AFG,Afghanistan,2020-06-03,16509.0,270.0,84.26,38928341,1803.987,0.498,Afghanistan,647500.0,2020-06-03,,,,,,2020-06-03,22,Jun,Wednesday,155,20200603,True,,0.0004240869139529,0.0,,,4.0,,All_Others,4678.0,50.0,True
22,23,AFG,Afghanistan,2020-06-10,21459.0,384.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-06-10,,,,,,2020-06-10,23,Jun,Wednesday,162,20200610,True,,0.0005512436299301,0.0,,,4.0,,All_Others,4950.0,114.0,True
23,24,AFG,Afghanistan,2020-06-17,26310.0,491.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-06-17,,,,,,2020-06-17,24,Jun,Wednesday,169,20200617,True,,0.0006758572115878,0.0,,,4.0,,All_Others,4851.0,107.0,True
24,25,AFG,Afghanistan,2020-06-24,29481.0,618.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-06-24,,,,,,2020-06-24,25,Jun,Wednesday,176,20200624,True,,0.0007573145744895,0.0,,,4.0,,All_Others,3171.0,127.0,True
25,26,AFG,Afghanistan,2020-07-01,31517.0,746.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-07-01,,,,,,2020-07-01,26,Jul,Wednesday,183,20200701,True,,0.0008096158015056,0.0,,,4.0,,All_Others,2036.0,128.0,True
26,27,AFG,Afghanistan,2020-07-08,33594.0,936.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-07-08,,,,,,2020-07-08,27,Jul,Wednesday,190,20200708,True,,0.0008629702457651,0.0,,,4.0,,All_Others,2077.0,190.0,True
27,28,AFG,Afghanistan,2020-07-15,34740.0,1045.0,78.7,38928341,1803.987,0.498,Afghanistan,647500.0,2020-07-15,,,,,,2020-07-15,28,Jul,Wednesday,197,20200715,True,,0.0008924089521307,0.0,,,4.0,,All_Others,1146.0,109.0,True
