Week_Num,All_Others,BRICS,EU,US,All
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,15,0,0,15.0
4,0,115,0,0,115.0
5,0,360,0,0,360.0
6,0,622,0,0,622.0
7,1,894,0,0,895.0
8,0,709,11,0,720.0
9,88,266,72,0,426.0
10,258,178,580,19,1035.0
11,797,80,2657,80,3614.0
12,1290,95,8846,693,10924.0
13,2235,206,18723,3278,24442.0
14,3612,656,27722,8816,40806.0
15,4502,1228,26466,13162,45358.0
16,5155,3079,24216,19006,51456.0
17,5740,3090,17941,13292,40063.0
18,6363,4230,12897,12723,36213.0
19,6860,5923,9957,11309,34049.0
20,6896,7287,7206,9534,30923.0
21,7635,8757,3636,6995,27023.0
22,8437,9626,3710,7265,29038.0
23,11325,10648,2849,5825,30647.0
24,12339,12599,1973,4957,31868.0
25,14689,11531,2749,4265,33234.0
26,14543,11390,1230,6182,33345.0
27,14953,12408,1060,4070,32491.0
28,15211,13024,824,4986,34045.0
29,17499,13771,736,5600,37606.0
30,20248,15335,652,7190,43425.0
31,16397,15375,771,7550,40093.0
32,17084,16167,897,7731,41879.0
33,19464,15926,1225,7284,43899.0
34,15808,14999,1001,6665,38473.0
35,16004,14598,1059,6203,37864.0
36,20401,13951,1296,4990,40638.0
37,14773,15181,1654,6258,37866.0
38,14603,14285,2235,4870,35993.0
39,15478,13737,2703,5191,37109.0
All,330688,282341,189554,205989,1008572.0
