Week_Num,Month,BRICS,EU,Japan,No_Affiliation,US,All
0,Jan,0,0,0,0,0,
1,Jan,32,0,0,0,0,32.0
2,Jan,0,0,1,0,0,1.0
3,Jan,467,0,0,3,0,470.0
4,Jan,5468,0,6,20,4,5498.0
5,Feb,18326,12,18,71,6,18433.0
6,Feb,20404,16,0,70,2,20492.0
7,Feb,29534,2,41,66,2,29645.0
8,Feb,3901,333,98,1161,38,5531.0
9,Mar,2227,3104,104,6604,72,12111.0
10,Mar,610,15828,300,9644,900,27282.0
11,Mar,626,59637,261,16992,5402,82918.0
12,Mar,3733,149479,364,36984,48804,239364.0
13,Apr,7653,219301,760,77811,134387,439912.0
14,Apr,17842,209034,2304,101175,209191,539546.0
15,Apr,32628,181951,3843,119135,210707,548264.0
16,Apr,59586,142748,3396,135584,215525,556839.0
17,Apr,82557,113575,2356,153532,187542,539562.0
18,May,125304,82401,1502,167256,191892,568355.0
19,May,168465,71440,670,185874,165489,591938.0
20,May,200103,51423,361,228831,158604,639322.0
21,May,234114,42885,266,267246,152644,697155.0
22,Jun,293012,39353,335,312357,150609,795666.0
23,Jun,331818,34533,265,347616,148029,862261.0
24,Jun,344940,34433,377,397180,157881,934811.0
25,Jun,409087,35649,399,429834,209291,1084260.0
26,Jul,478822,34662,696,438407,287410,1239997.0
27,Jul,534631,30283,1451,438749,361666,1366780.0
28,Jul,580462,33596,2334,448120,435476,1499988.0
29,Jul,616996,43567,3795,491537,470484,1626379.0
30,Jul,781660,56079,5030,497844,449939,1790552.0
31,Aug,795996,73136,9796,516576,419090,1814594.0
32,Aug,810818,85592,8383,541254,370120,1816167.0
33,Aug,796818,111503,8038,549498,341209,1807066.0
34,Aug,784669,134256,6272,546054,296612,1767863.0
35,Sep,865268,159143,5179,536503,296624,1862717.0
36,Sep,859823,192502,3725,526390,252141,1834581.0
37,Sep,919717,236274,3722,565400,278500,2003613.0
38,Sep,888870,290850,3320,576487,289981,2049508.0
39,Sep,827085,330210,3242,601353,294787,2056677.0
40,Oct,803495,417691,3533,606270,310551,2141540.0
41,Oct,726905,611106,3597,641691,355102,2338401.0
All,,14464472,4327587,90140,11517179,7856713,38256091.0
