Week_Num,DeathsxCases,Weekly_Cases,Weekly_Deaths
1,0.0,32,0
2,0.0,1,0
3,0.0,470,15
4,0.0,5498,115
5,0.5,18433,360
6,0.3,20492,622
7,0.4,29645,895
8,0.6000000000000001,5531,720
9,0.2,12111,426
10,0.4,27282,1035
11,2.0,82918,3614
12,3.400000000000001,239364,10924
13,4.500000000000001,439912,24442
14,5.599999999999999,539546,40806
15,6.099999999999998,548264,45358
16,6.199999999999996,556839,51456
17,6.7999999999999945,539562,40063
18,7.199999999999993,568355,36213
19,6.999999999999995,591938,34049
20,6.299999999999996,639322,30923
21,5.999999999999997,697155,27023
22,5.6999999999999975,795666,29038
23,5.399999999999999,862261,30647
24,5.199999999999998,934811,31868
25,5.299999999999998,1084260,33234
26,4.6000000000000005,1239997,33345
27,4.500000000000001,1366780,32491
28,4.300000000000002,1499988,34045
29,4.100000000000002,1626379,37606
30,3.7000000000000015,1790552,43425
31,3.5000000000000013,1814594,40093
32,3.200000000000001,1816167,41879
33,3.200000000000001,1807066,43899
34,2.8000000000000007,1767863,38473
35,2.900000000000001,1862717,37864
36,3.000000000000001,1834581,40638
37,2.8000000000000007,2003613,37866
38,2.7000000000000006,2049508,35993
39,2.7000000000000006,2056677,37109
