,iso_code,Stringency_Indexed_Wk15
1,AFG,True
23,ALB,True
33,DZA,True
56,AGO,True
83,AIA,True
88,ARG,True
115,ABW,True
122,AUS,True
137,AUT,True
142,AZE,True
168,BHR,True
183,BGD,True
208,BRB,True
221,BEL,True
231,BLZ,True
252,BEN,True
257,BMU,True
268,BTN,True
287,BOL,True
316,BIH,True
324,BWA,True
332,BRA,True
357,VGB,True
364,BGR,True
370,BFA,True
378,CAN,True
390,CPV,True
406,CYM,True
421,TCD,True
438,CHL,True
494,COL,True
521,COG,True
538,CRI,True
560,CIV,True
567,HRV,True
574,CUB,True
597,CYP,True
609,CZE,True
613,COD,True
634,DJI,True
641,DMA,True
655,DOM,True
684,ECU,True
709,EGY,True
723,SLV,True
748,ERI,True
775,EST,True
780,ETH,True
806,FLK,True
813,FJI,True
827,FRA,True
834,GAB,True
845,GMB,True
867,GEO,True
879,DEU,True
884,GHA,True
888,GIB,True
897,GRC,True
904,GRL,True
906,GUM,True
920,GTM,True
945,GIN,True
955,GUY,True
983,HTI,True
1000,HND,True
1027,HUN,True
1033,IND,True
1058,IDN,True
1070,IRQ,True
1097,IRL,True
1117,ISR,True
1137,ITA,True
1144,JAM,True
1165,JOR,True
1176,KAZ,True
1203,KEN,True
1227,OWID_KOS,True
1239,KWT,True
1258,KGZ,True
1280,LAO,True
1289,LBN,True
1310,LBR,True
1327,LBY,True
1356,LTU,True
1367,LUX,True
1374,MDG,True
1388,MYS,True
1395,MLI,True
1400,MRT,True
1415,MUS,True
1424,MEX,True
1451,MDA,True
1475,MSR,True
1480,MAR,True
1503,MMR,True
1533,NPL,True
1561,NLD,True
1568,NZL,True
1576,NGA,True
1590,NOR,True
1594,OMN,True
1622,PAK,True
1635,PSE,True
1663,PAN,True
1691,PNG,True
1698,PRY,True
1727,PER,True
1756,PHL,True
1776,POL,True
1786,PRT,True
1800,PRI,True
1818,QAT,True
1841,ROU,True
1850,RUS,True
1866,RWA,True
1885,SMR,True
1891,SAU,True
1908,SEN,True
1920,SRB,True
1926,SYC,True
1930,SLE,True
1939,SGP,True
1953,SVK,True
1963,SVN,True
1969,ZAF,True
1995,KOR,True
1997,SSD,True
2024,ESP,True
2034,LKA,True
2044,SDN,True
2064,SUR,True
2090,SWZ,True
2112,CHE,True
2117,SYR,True
2128,THA,True
2138,TLS,True
2142,TGO,True
2152,TTO,True
2172,TUN,True
2182,TUR,True
2192,TCA,True
2204,UGA,True
2233,UKR,True
2245,ARE,True
2260,GBR,True
2274,USA,True
2287,UZB,True
2301,VEN,True
2328,VNM,True
2343,ZWE,True
